-0.276094 -1.250000 -0.697332 -0.276094 -1.200000 -0.697332 -0.231763 -1.200000 -0.713292 -0.231763 -1.250000 -0.713292 
-0.319335 -1.250000 -0.678620 -0.319335 -1.200000 -0.678620 -0.276094 -1.200000 -0.697332 -0.276094 -1.250000 -0.697332 
-0.361315 -1.250000 -0.657230 -0.361315 -1.200000 -0.657230 -0.319335 -1.200000 -0.678620 -0.319335 -1.250000 -0.678620 
-0.401870 -1.250000 -0.633246 -0.401870 -1.200000 -0.633246 -0.361315 -1.200000 -0.657230 -0.361315 -1.250000 -0.657230 
-0.440839 -1.250000 -0.606763 -0.440839 -1.200000 -0.606763 -0.401870 -1.200000 -0.633246 -0.401870 -1.250000 -0.633246 
-0.478068 -1.250000 -0.577885 -0.478068 -1.200000 -0.577885 -0.440839 -1.200000 -0.606763 -0.440839 -1.250000 -0.606763 
-0.513411 -1.250000 -0.546726 -0.513411 -1.200000 -0.546726 -0.478068 -1.200000 -0.577885 -0.478068 -1.250000 -0.577885 
-0.546727 -1.250000 -0.513410 -0.546727 -1.200000 -0.513410 -0.513411 -1.200000 -0.546726 -0.513411 -1.250000 -0.546726 
-0.577885 -1.250000 -0.478068 -0.577885 -1.200000 -0.478068 -0.546727 -1.200000 -0.513410 -0.546727 -1.250000 -0.513410 
-0.606763 -1.250000 -0.440839 -0.606763 -1.200000 -0.440839 -0.577885 -1.200000 -0.478068 -0.577885 -1.250000 -0.478068 
-0.633246 -1.250000 -0.401870 -0.633246 -1.200000 -0.401870 -0.606763 -1.200000 -0.440839 -0.606763 -1.250000 -0.440839 
-0.657230 -1.250000 -0.361315 -0.657230 -1.200000 -0.361315 -0.633246 -1.200000 -0.401870 -0.633246 -1.250000 -0.401870 
-0.678620 -1.250000 -0.319334 -0.678620 -1.200000 -0.319334 -0.657230 -1.200000 -0.361315 -0.657230 -1.250000 -0.361315 
-0.697332 -1.250000 -0.276093 -0.697332 -1.200000 -0.276093 -0.678620 -1.200000 -0.319334 -0.678620 -1.250000 -0.319334 
-0.713293 -1.250000 -0.231763 -0.713293 -1.200000 -0.231763 -0.697333 -1.200000 -0.276093 -0.697333 -1.250000 -0.276093 
-0.726438 -1.250000 -0.186517 -0.726438 -1.200000 -0.186517 -0.713292 -1.200000 -0.231763 -0.713292 -1.250000 -0.231763 
-0.736715 -1.250000 -0.140536 -0.736715 -1.200000 -0.140536 -0.726437 -1.200000 -0.186517 -0.726437 -1.250000 -0.186517 
-0.744086 -1.250000 -0.094000 -0.744086 -1.200000 -0.094000 -0.736716 -1.200000 -0.140536 -0.736716 -1.250000 -0.140536 
-0.748520 -1.250000 -0.047093 -0.748520 -1.200000 -0.047093 -0.744086 -1.200000 -0.094000 -0.744086 -1.250000 -0.094000 
-0.750000 -1.250000 0.000000 -0.750000 -1.200000 0.000000 -0.748520 -1.200000 -0.047093 -0.748520 -1.250000 -0.047093 
-0.748520 -1.250000 0.047093 -0.748520 -1.200000 0.047093 -0.750000 -1.200000 0.000000 -0.750000 -1.250000 0.000000 
-0.744086 -1.250000 0.094000 -0.744086 -1.200000 0.094000 -0.748520 -1.200000 0.047093 -0.748520 -1.250000 0.047093 
-0.736715 -1.250000 0.140536 -0.736715 -1.200000 0.140536 -0.744086 -1.200000 0.094000 -0.744086 -1.250000 0.094000 
-0.726437 -1.250000 0.186518 -0.726437 -1.200000 0.186518 -0.736715 -1.200000 0.140536 -0.736715 -1.250000 0.140536 
-0.713292 -1.250000 0.231763 -0.713292 -1.200000 0.231763 -0.726437 -1.200000 0.186518 -0.726437 -1.250000 0.186518 
-0.697332 -1.250000 0.276094 -0.697332 -1.200000 0.276094 -0.713292 -1.200000 0.231763 -0.713292 -1.250000 0.231763 
-0.678620 -1.250000 0.319335 -0.678620 -1.200000 0.319335 -0.697332 -1.200000 0.276094 -0.697332 -1.250000 0.276094 
-0.657230 -1.250000 0.361315 -0.657230 -1.200000 0.361315 -0.678620 -1.200000 0.319335 -0.678620 -1.250000 0.319335 
-0.633246 -1.250000 0.401870 -0.633246 -1.200000 0.401870 -0.657230 -1.200000 0.361315 -0.657230 -1.250000 0.361315 
-0.606763 -1.250000 0.440839 -0.606763 -1.200000 0.440839 -0.633246 -1.200000 0.401870 -0.633246 -1.250000 0.401870 
-0.577885 -1.250000 0.478068 -0.577885 -1.200000 0.478068 -0.606763 -1.200000 0.440839 -0.606763 -1.250000 0.440839 
-0.546726 -1.250000 0.513411 -0.546726 -1.200000 0.513411 -0.577885 -1.200000 0.478068 -0.577885 -1.250000 0.478068 
-0.513410 -1.250000 0.546727 -0.513410 -1.200000 0.546727 -0.546726 -1.200000 0.513411 -0.546726 -1.250000 0.513411 
-0.478068 -1.250000 0.577885 -0.478068 -1.200000 0.577885 -0.513410 -1.200000 0.546727 -0.513410 -1.250000 0.546727 
-0.440839 -1.250000 0.606763 -0.440839 -1.200000 0.606763 -0.478068 -1.200000 0.577885 -0.478068 -1.250000 0.577885 
-0.401870 -1.250000 0.633246 -0.401870 -1.200000 0.633246 -0.440839 -1.200000 0.606763 -0.440839 -1.250000 0.606763 
-0.361315 -1.250000 0.657230 -0.361315 -1.200000 0.657230 -0.401870 -1.200000 0.633246 -0.401870 -1.250000 0.633246 
-0.319334 -1.250000 0.678620 -0.319334 -1.200000 0.678620 -0.361315 -1.200000 0.657230 -0.361315 -1.250000 0.657230 
-0.276093 -1.250000 0.697332 -0.276093 -1.200000 0.697332 -0.319334 -1.200000 0.678620 -0.319334 -1.250000 0.678620 
-0.231763 -1.250000 0.713292 -0.231763 -1.200000 0.713292 -0.276093 -1.200000 0.697332 -0.276093 -1.250000 0.697332 
-0.186517 -1.250000 0.726437 -0.186517 -1.200000 0.726437 -0.231763 -1.200000 0.713292 -0.231763 -1.250000 0.713292 
-0.140536 -1.250000 0.736716 -0.140536 -1.200000 0.736716 -0.186517 -1.200000 0.726437 -0.186517 -1.250000 0.726437 
-0.094000 -1.250000 0.744086 -0.094000 -1.200000 0.744086 -0.140536 -1.200000 0.736715 -0.140536 -1.250000 0.736715 
-0.047093 -1.250000 0.748520 -0.047093 -1.200000 0.748520 -0.094000 -1.200000 0.744086 -0.094000 -1.250000 0.744086 
0.000000 -1.250000 0.750000 0.000000 -1.200000 0.750000 -0.047093 -1.200000 0.748520 -0.047093 -1.250000 0.748520 
0.047093 -1.200000 0.748520 0.047093 -1.150000 0.748520 -0.000000 -1.150000 0.750000 -0.000000 -1.200000 0.750000 
0.094000 -1.200000 0.744086 0.094000 -1.150000 0.744086 0.047093 -1.150000 0.748520 0.047093 -1.200000 0.748520 
0.140536 -1.200000 0.736715 0.140536 -1.150000 0.736715 0.094000 -1.150000 0.744086 0.094000 -1.200000 0.744086 
0.186517 -1.200000 0.726437 0.186517 -1.150000 0.726437 0.140536 -1.150000 0.736715 0.140536 -1.200000 0.736715 
0.231763 -1.200000 0.713292 0.231763 -1.150000 0.713292 0.186517 -1.150000 0.726437 0.186517 -1.200000 0.726437 
0.276093 -1.200000 0.697332 0.276093 -1.150000 0.697332 0.231763 -1.150000 0.713292 0.231763 -1.200000 0.713292 
0.319334 -1.200000 0.678620 0.319334 -1.150000 0.678620 0.276093 -1.150000 0.697332 0.276093 -1.200000 0.697332 
0.361315 -1.200000 0.657230 0.361315 -1.150000 0.657230 0.319334 -1.150000 0.678620 0.319334 -1.200000 0.678620 
0.401870 -1.200000 0.633246 0.401870 -1.150000 0.633246 0.361315 -1.150000 0.657230 0.361315 -1.200000 0.657230 
0.440839 -1.200000 0.606763 0.440839 -1.150000 0.606763 0.401870 -1.150000 0.633246 0.401870 -1.200000 0.633246 
0.478068 -1.200000 0.577885 0.478068 -1.150000 0.577885 0.440839 -1.150000 0.606763 0.440839 -1.200000 0.606763 
0.513410 -1.200000 0.546726 0.513410 -1.150000 0.546726 0.478068 -1.150000 0.577885 0.478068 -1.200000 0.577885 
0.546726 -1.200000 0.513410 0.546727 -1.150000 0.513410 0.513410 -1.150000 0.546726 0.513410 -1.200000 0.546726 
0.577885 -1.200000 0.478068 0.577885 -1.150000 0.478068 0.546726 -1.150000 0.513410 0.546726 -1.200000 0.513410 
0.606763 -1.200000 0.440839 0.606763 -1.150000 0.440839 0.577885 -1.150000 0.478068 0.577885 -1.200000 0.478068 
0.633246 -1.200000 0.401870 0.633246 -1.150000 0.401870 0.606763 -1.150000 0.440839 0.606763 -1.200000 0.440839 
0.657230 -1.200000 0.361315 0.657230 -1.150000 0.361315 0.633246 -1.150000 0.401870 0.633246 -1.200000 0.401870 
0.678620 -1.200000 0.319334 0.678620 -1.150000 0.319334 0.657230 -1.150000 0.361315 0.657230 -1.200000 0.361315 
0.697332 -1.200000 0.276093 0.697332 -1.150000 0.276093 0.678620 -1.150000 0.319334 0.678620 -1.200000 0.319334 
0.713292 -1.200000 0.231763 0.713292 -1.150000 0.231763 0.697332 -1.150000 0.276093 0.697332 -1.200000 0.276093 
0.726437 -1.200000 0.186517 0.726437 -1.150000 0.186517 0.713292 -1.150000 0.231763 0.713292 -1.200000 0.231763 
0.736715 -1.200000 0.140536 0.736715 -1.150000 0.140536 0.726437 -1.150000 0.186517 0.726437 -1.200000 0.186517 
0.744086 -1.200000 0.094000 0.744086 -1.150000 0.094000 0.736715 -1.150000 0.140536 0.736715 -1.200000 0.140536 
0.748520 -1.200000 0.047093 0.748520 -1.150000 0.047093 0.744086 -1.150000 0.094000 0.744086 -1.200000 0.094000 
0.750000 -1.200000 -0.000000 0.750000 -1.150000 -0.000000 0.748520 -1.150000 0.047093 0.748520 -1.200000 0.047093 
0.748520 -1.200000 -0.047093 0.748520 -1.150000 -0.047093 0.750000 -1.150000 -0.000000 0.750000 -1.200000 -0.000000 
0.744086 -1.200000 -0.094000 0.744086 -1.150000 -0.094000 0.748520 -1.150000 -0.047093 0.748520 -1.200000 -0.047093 
0.736715 -1.200000 -0.140536 0.736715 -1.150000 -0.140536 0.744086 -1.150000 -0.094000 0.744086 -1.200000 -0.094000 
0.726437 -1.200000 -0.186517 0.726437 -1.150000 -0.186517 0.736715 -1.150000 -0.140536 0.736715 -1.200000 -0.140536 
0.713292 -1.200000 -0.231763 0.713292 -1.150000 -0.231763 0.726437 -1.150000 -0.186517 0.726437 -1.200000 -0.186517 
0.697332 -1.200000 -0.276093 0.697332 -1.150000 -0.276093 0.713292 -1.150000 -0.231763 0.713292 -1.200000 -0.231763 
0.678620 -1.200000 -0.319335 0.678620 -1.150000 -0.319335 0.697332 -1.150000 -0.276093 0.697332 -1.200000 -0.276093 
0.657230 -1.200000 -0.361315 0.657230 -1.150000 -0.361315 0.678620 -1.150000 -0.319335 0.678620 -1.200000 -0.319335 
0.633246 -1.200000 -0.401870 0.633246 -1.150000 -0.401870 0.657230 -1.150000 -0.361315 0.657230 -1.200000 -0.361315 
0.606763 -1.200000 -0.440839 0.606763 -1.150000 -0.440839 0.633246 -1.150000 -0.401870 0.633246 -1.200000 -0.401870 
0.577885 -1.200000 -0.478068 0.577885 -1.150000 -0.478068 0.606763 -1.150000 -0.440839 0.606763 -1.200000 -0.440839 
0.546726 -1.200000 -0.513410 0.546726 -1.150000 -0.513410 0.577885 -1.150000 -0.478068 0.577885 -1.200000 -0.478068 
0.513410 -1.200000 -0.546727 0.513410 -1.150000 -0.546727 0.546726 -1.150000 -0.513410 0.546726 -1.200000 -0.513410 
0.478068 -1.200000 -0.577885 0.478068 -1.150000 -0.577885 0.513410 -1.150000 -0.546727 0.513410 -1.200000 -0.546727 
0.440839 -1.200000 -0.606763 0.440839 -1.150000 -0.606763 0.478068 -1.150000 -0.577885 0.478068 -1.200000 -0.577885 
0.401870 -1.200000 -0.633246 0.401870 -1.150000 -0.633246 0.440839 -1.150000 -0.606763 0.440839 -1.200000 -0.606763 
0.361315 -1.200000 -0.657230 0.361315 -1.150000 -0.657230 0.401870 -1.150000 -0.633246 0.401870 -1.200000 -0.633246 
0.319334 -1.200000 -0.678620 0.319334 -1.150000 -0.678620 0.361315 -1.150000 -0.657230 0.361315 -1.200000 -0.657230 
0.276093 -1.200000 -0.697332 0.276093 -1.150000 -0.697332 0.319334 -1.150000 -0.678620 0.319334 -1.200000 -0.678620 
0.231763 -1.200000 -0.713292 0.231763 -1.150000 -0.713292 0.276093 -1.150000 -0.697332 0.276093 -1.200000 -0.697332 
0.186517 -1.200000 -0.726437 0.186517 -1.150000 -0.726437 0.231763 -1.150000 -0.713292 0.231763 -1.200000 -0.713292 
0.140536 -1.200000 -0.736715 0.140536 -1.150000 -0.736715 0.186517 -1.150000 -0.726437 0.186517 -1.200000 -0.726437 
0.094000 -1.200000 -0.744086 0.094000 -1.150000 -0.744086 0.140536 -1.150000 -0.736715 0.140536 -1.200000 -0.736715 
0.047093 -1.200000 -0.748520 0.047093 -1.150000 -0.748520 0.094000 -1.150000 -0.744086 0.094000 -1.200000 -0.744086 
-0.000000 -1.200000 -0.750000 -0.000000 -1.150000 -0.750000 0.047093 -1.150000 -0.748520 0.047093 -1.200000 -0.748520 
-0.047093 -1.200000 -0.748520 -0.047093 -1.150000 -0.748520 -0.000000 -1.150000 -0.750000 -0.000000 -1.200000 -0.750000 
-0.094000 -1.200000 -0.744086 -0.094000 -1.150000 -0.744086 -0.047093 -1.150000 -0.748520 -0.047093 -1.200000 -0.748520 
-0.140536 -1.200000 -0.736715 -0.140536 -1.150000 -0.736715 -0.094000 -1.150000 -0.744086 -0.094000 -1.200000 -0.744086 
-0.186518 -1.200000 -0.726437 -0.186518 -1.150000 -0.726437 -0.140536 -1.150000 -0.736715 -0.140536 -1.200000 -0.736715 
-0.231763 -1.200000 -0.713292 -0.231763 -1.150000 -0.713292 -0.186518 -1.150000 -0.726437 -0.186518 -1.200000 -0.726437 
-0.276094 -1.200000 -0.697332 -0.276094 -1.150000 -0.697332 -0.231763 -1.150000 -0.713292 -0.231763 -1.200000 -0.713292 
-0.319335 -1.200000 -0.678620 -0.319335 -1.150000 -0.678620 -0.276094 -1.150000 -0.697332 -0.276094 -1.200000 -0.697332 
-0.361315 -1.200000 -0.657230 -0.361315 -1.150000 -0.657230 -0.319335 -1.150000 -0.678620 -0.319335 -1.200000 -0.678620 
-0.401870 -1.200000 -0.633246 -0.401870 -1.150000 -0.633246 -0.361315 -1.150000 -0.657230 -0.361315 -1.200000 -0.657230 
-0.440839 -1.200000 -0.606763 -0.440839 -1.150000 -0.606763 -0.401870 -1.150000 -0.633246 -0.401870 -1.200000 -0.633246 
-0.478068 -1.200000 -0.577885 -0.478068 -1.150000 -0.577885 -0.440839 -1.150000 -0.606763 -0.440839 -1.200000 -0.606763 
-0.513411 -1.200000 -0.546726 -0.513411 -1.150000 -0.546726 -0.478068 -1.150000 -0.577885 -0.478068 -1.200000 -0.577885 
-0.546727 -1.200000 -0.513410 -0.546727 -1.150000 -0.513410 -0.513411 -1.150000 -0.546726 -0.513411 -1.200000 -0.546726 
-0.577885 -1.200000 -0.478068 -0.577885 -1.150000 -0.478068 -0.546727 -1.150000 -0.513410 -0.546727 -1.200000 -0.513410 
-0.606763 -1.200000 -0.440839 -0.606763 -1.150000 -0.440839 -0.577885 -1.150000 -0.478068 -0.577885 -1.200000 -0.478068 
-0.633246 -1.200000 -0.401870 -0.633246 -1.150000 -0.401870 -0.606763 -1.150000 -0.440839 -0.606763 -1.200000 -0.440839 
-0.657230 -1.200000 -0.361315 -0.657230 -1.150000 -0.361315 -0.633246 -1.150000 -0.401870 -0.633246 -1.200000 -0.401870 
-0.678620 -1.200000 -0.319334 -0.678620 -1.150000 -0.319334 -0.657230 -1.150000 -0.361315 -0.657230 -1.200000 -0.361315 
-0.697332 -1.200000 -0.276093 -0.697332 -1.150000 -0.276093 -0.678620 -1.150000 -0.319334 -0.678620 -1.200000 -0.319334 
-0.713293 -1.200000 -0.231763 -0.713293 -1.150000 -0.231763 -0.697333 -1.150000 -0.276093 -0.697333 -1.200000 -0.276093 
-0.726438 -1.200000 -0.186517 -0.726438 -1.150000 -0.186517 -0.713292 -1.150000 -0.231763 -0.713292 -1.200000 -0.231763 
-0.736715 -1.200000 -0.140536 -0.736715 -1.150000 -0.140536 -0.726437 -1.150000 -0.186517 -0.726437 -1.200000 -0.186517 
-0.744086 -1.200000 -0.094000 -0.744086 -1.150000 -0.094000 -0.736716 -1.150000 -0.140536 -0.736716 -1.200000 -0.140536 
-0.748520 -1.200000 -0.047093 -0.748520 -1.150000 -0.047093 -0.744086 -1.150000 -0.094000 -0.744086 -1.200000 -0.094000 
-0.750000 -1.200000 0.000000 -0.750000 -1.150000 0.000000 -0.748520 -1.150000 -0.047093 -0.748520 -1.200000 -0.047093 
-0.748520 -1.200000 0.047093 -0.748520 -1.150000 0.047093 -0.750000 -1.150000 0.000000 -0.750000 -1.200000 0.000000 
-0.744086 -1.200000 0.094000 -0.744086 -1.150000 0.094000 -0.748520 -1.150000 0.047093 -0.748520 -1.200000 0.047093 
-0.736715 -1.200000 0.140536 -0.736715 -1.150000 0.140536 -0.744086 -1.150000 0.094000 -0.744086 -1.200000 0.094000 
-0.726437 -1.200000 0.186518 -0.726437 -1.150000 0.186518 -0.736715 -1.150000 0.140536 -0.736715 -1.200000 0.140536 
-0.713292 -1.200000 0.231763 -0.713292 -1.150000 0.231763 -0.726437 -1.150000 0.186518 -0.726437 -1.200000 0.186518 
-0.697332 -1.200000 0.276094 -0.697332 -1.150000 0.276094 -0.713292 -1.150000 0.231763 -0.713292 -1.200000 0.231763 
-0.678620 -1.200000 0.319335 -0.678620 -1.150000 0.319335 -0.697332 -1.150000 0.276094 -0.697332 -1.200000 0.276094 
-0.657230 -1.200000 0.361315 -0.657230 -1.150000 0.361315 -0.678620 -1.150000 0.319335 -0.678620 -1.200000 0.319335 
-0.633246 -1.200000 0.401870 -0.633246 -1.150000 0.401870 -0.657230 -1.150000 0.361315 -0.657230 -1.200000 0.361315 
-0.606763 -1.200000 0.440839 -0.606763 -1.150000 0.440839 -0.633246 -1.150000 0.401870 -0.633246 -1.200000 0.401870 
-0.577885 -1.200000 0.478068 -0.577885 -1.150000 0.478068 -0.606763 -1.150000 0.440839 -0.606763 -1.200000 0.440839 
-0.546726 -1.200000 0.513411 -0.546726 -1.150000 0.513411 -0.577885 -1.150000 0.478068 -0.577885 -1.200000 0.478068 
-0.513410 -1.200000 0.546727 -0.513410 -1.150000 0.546727 -0.546726 -1.150000 0.513411 -0.546726 -1.200000 0.513411 
-0.478068 -1.200000 0.577885 -0.478068 -1.150000 0.577885 -0.513410 -1.150000 0.546727 -0.513410 -1.200000 0.546727 
-0.440839 -1.200000 0.606763 -0.440839 -1.150000 0.606763 -0.478068 -1.150000 0.577885 -0.478068 -1.200000 0.577885 
-0.401870 -1.200000 0.633246 -0.401870 -1.150000 0.633246 -0.440839 -1.150000 0.606763 -0.440839 -1.200000 0.606763 
-0.361315 -1.200000 0.657230 -0.361315 -1.150000 0.657230 -0.401870 -1.150000 0.633246 -0.401870 -1.200000 0.633246 
-0.319334 -1.200000 0.678620 -0.319334 -1.150000 0.678620 -0.361315 -1.150000 0.657230 -0.361315 -1.200000 0.657230 
-0.276093 -1.200000 0.697332 -0.276093 -1.150000 0.697332 -0.319334 -1.150000 0.678620 -0.319334 -1.200000 0.678620 
-0.231763 -1.200000 0.713292 -0.231763 -1.150000 0.713292 -0.276093 -1.150000 0.697332 -0.276093 -1.200000 0.697332 
-0.186517 -1.200000 0.726437 -0.186517 -1.150000 0.726437 -0.231763 -1.150000 0.713292 -0.231763 -1.200000 0.713292 
-0.140536 -1.200000 0.736716 -0.140536 -1.150000 0.736716 -0.186517 -1.150000 0.726437 -0.186517 -1.200000 0.726437 
-0.094000 -1.200000 0.744086 -0.094000 -1.150000 0.744086 -0.140536 -1.150000 0.736715 -0.140536 -1.200000 0.736715 
-0.047093 -1.200000 0.748520 -0.047093 -1.150000 0.748520 -0.094000 -1.150000 0.744086 -0.094000 -1.200000 0.744086 
0.000000 -1.200000 0.750000 0.000000 -1.150000 0.750000 -0.047093 -1.150000 0.748520 -0.047093 -1.200000 0.748520 
0.047093 -1.150000 0.748520 0.047093 -1.100000 0.748520 -0.000000 -1.100000 0.750000 -0.000000 -1.150000 0.750000 
0.094000 -1.150000 0.744086 0.094000 -1.100000 0.744086 0.047093 -1.100000 0.748520 0.047093 -1.150000 0.748520 
